num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
11      583.187              0    -0.00614179     0.00236914              0              0    3               tl208  0.843893   1.02681                                             
12       609.32              0     0.00049022     0.00259835              0              0    3               bi214   1.01617   1.02681                                             
13      661.657              0    -0.00161136      0.0028617              0              0    3               cs137  0.941038   1.02681                                             
14      665.447              0   -9.09401e-05     0.00279004              0              0    3               bi214  0.941038   1.02681                                             
21      1120.29              0     0.00669553     0.00292152              0              0    3               bi214   1.11033   1.02681                                             
22      1155.21              0     0.00209331     0.00215782              0              0    3               bi214  0.931905   1.02681                                             
23      1173.23              0   -0.000652703      0.0016848              0              0    3                co60  0.738526   1.02681                                             
25      1274.54              0        10.4239      0.0339097              0              1    3      na22      na22   1.03672   1.02681                                             
26          511              0        32.1706      0.0594355              0              1    3      na22      na22   1.02909   1.02681                                             
