num      energy        midtime       peakrate            +/-          I*eff          IsoBrconvergence    parent     activROI_Chisq/dofTot_Chisq/dof                                     filename
11      583.187         176385    -0.00331478     0.00285598              0              0    3               tl208   1.03154   1.07429                                             
12       609.32         176385    -0.00216303     0.00293605              0              0    3               bi214  0.987258   1.07429                                             
13      661.657         176385    0.000670614     0.00294735              0              0    3               cs137  0.893105   1.07429                                             
14      665.447         176385    -0.00395003     0.00285968              0              0    3               bi214  0.893105   1.07429                                             
21      1120.29         176385     0.00104778     0.00342078              0              0    3               bi214   1.05212   1.07429                                             
22      1155.21         176385    -0.00292887     0.00238279              0              0    3               bi214   1.10051   1.07429                                             
23      1173.23         176385    0.000439454     0.00195398              0              0    3                co60   1.02728   1.07429                                             
25      1274.54         176385        11.8183      0.0344124              0              1    3      na22      na22   1.22289   1.07429                                             
26          511         176385         36.076      0.0602458              0              1    3      na22      na22  0.873154   1.07429                                             
