ra226  bi214  1401.5150 1.970126e-01 1.296952e-02 1.280730e-02 1.259030e-02 1.247080e-02 1.508525e-02 1.495303e-02
ra226  bi214  1407.9880 2.003134e-01 8.985453e-03 8.916977e-03 8.454414e-03 8.438335e-03 1.508525e-02 1.495303e-02
ra226  bi214  1509.2100 1.968468e-01 1.035145e-02 1.028364e-02 9.940991e-03 9.863180e-03 1.508525e-02 1.495303e-02
ra226  bi214  1538.5300 2.162167e-01 2.936746e-02 2.874266e-02 2.920110e-02 2.854570e-02 1.508525e-02 1.495303e-02
ra226  bi214  1543.3400 2.030817e-01 4.097054e-02 4.012361e-02 4.091367e-02 3.998892e-02 1.508525e-02 1.495303e-02
ra226  bi214  1583.2040 1.779926e-01 1.923732e-02 1.896854e-02 1.905949e-02 1.884932e-02 1.508525e-02 1.495303e-02
ra226  bi214  1594.7500 2.030565e-01 3.905988e-02 3.797312e-02 3.896006e-02 3.780629e-02 1.508525e-02 1.495303e-02
ra226  bi214  1599.3700 3.542945e-01 6.629038e-02 6.359133e-02 6.600926e-02 6.348895e-02 1.508525e-02 1.495303e-02
ra226  bi214  1661.2740 1.773107e-01 1.414458e-02 1.406512e-02 1.387771e-02 1.377752e-02 1.508525e-02 1.495303e-02
ra226  bi214  1684.0120 2.112807e-01 4.089345e-02 4.003902e-02 4.084798e-02 4.007346e-02 1.508525e-02 1.495303e-02
ra226  bi214  1729.5950 1.855898e-01 7.961709e-03 7.923393e-03 7.454008e-03 7.415950e-03 1.508525e-02 1.495303e-02
ra226  bi214  1764.4910 1.891828e-01 4.291031e-03 4.251444e-03 3.194193e-03 3.174554e-03 1.508525e-02 1.495303e-02
ra226  bi214  1838.3600 1.458203e-01 2.498728e-02 2.461942e-02 2.481594e-02 2.451133e-02 1.508525e-02 1.495303e-02
ra226  bi214  1847.4290 1.784518e-01 9.284358e-03 9.210720e-03 8.863241e-03 8.776205e-03 1.508525e-02 1.495303e-02
ra226  bi214  1873.1600 2.519820e-01 4.488979e-02 4.356238e-02 4.471453e-02 4.341002e-02 1.508525e-02 1.495303e-02
ra226  bi214  2118.5140 1.656529e-01 1.270781e-02 1.257736e-02 1.245211e-02 1.234070e-02 1.508525e-02 1.495303e-02
ra226  bi214  2204.0590 1.910412e-01 6.874972e-03 6.838538e-03 6.248749e-03 6.219808e-03 1.508525e-02 1.495303e-02
ra226  bi214  2293.3800 1.367590e-01 2.429082e-02 2.402851e-02 2.418881e-02 2.395006e-02 1.508525e-02 1.495303e-02
ra226  bi214  2447.7000 1.886138e-01 1.180248e-02 1.164526e-02 1.141750e-02 1.134985e-02 1.508525e-02 1.495303e-02
ra226  pb210  46.5390 1.337669e-01 4.322457e-03 4.284918e-03 3.804699e-03 3.798260e-03 1.508525e-02 1.495303e-02
