co60   1.016652e+00 5.153441e-03 5.125462e-03 1.505479e-02 1.494536e-02
ba133  1.001940e+00 4.248734e-03 4.246243e-03 1.508321e-02 1.495236e-02
cs137  9.834983e-01 7.968666e-02 7.381670e-02 1.506554e-02 1.497286e-02
eu152  9.638355e-01 7.621666e-03 7.620753e-03 1.505881e-02 1.491080e-02
pb210  -9.000000e+00 1.000000e+00 1.000000e+00 2.004290e-02 1.996651e-02
am241  -9.000000e+00 1.000000e+00 1.000000e+00 1.510487e-02 1.498155e-02
na22   1.004519e+00 6.946920e-03 6.909935e-03 1.514551e-02 1.486523e-02
co60   1.016652e+00 5.144339e-03 5.125503e-03 1.505479e-02 1.494536e-02
ba133  1.005794e+00 4.515826e-03 4.515017e-03 1.508321e-02 1.495236e-02
cs137  9.834983e-01 7.969255e-02 7.331826e-02 1.506554e-02 1.497286e-02
eu152  9.637522e-01 7.629158e-03 7.627604e-03 1.505881e-02 1.491080e-02
pb210  -9.000000e+00 1.000000e+00 1.000000e+00 2.004290e-02 1.996651e-02
ra226  9.639729e-01 4.004909e-03 4.002456e-03 1.504539e-02 1.496864e-02
am241  -9.000000e+00 1.000000e+00 1.000000e+00 1.510487e-02 1.498155e-02
na22   1.004519e+00 6.908759e-03 6.907202e-03 1.509114e-02 1.491477e-02
co60   1.016652e+00 5.148307e-03 5.131699e-03 -1.492165e-02 -1.507326e-02
ba133  1.005808e+00 4.516051e-03 4.515551e-03 1.504964e-02 1.496019e-02
cs137  9.834526e-01 8.286869e-02 7.670532e-02 1.509095e-02 1.495014e-02
eu152  9.637481e-01 7.619831e-03 7.619127e-03 1.506387e-02 1.491939e-02
pb210  -9.000000e+00 1.000000e+00 1.000000e+00 -1.994916e-02 -2.010836e-02
ra226  9.639807e-01 4.001887e-03 4.000367e-03 1.508525e-02 1.495303e-02
am241  -9.000000e+00 1.000000e+00 1.000000e+00 1.506001e-02 1.494775e-02
na22   9.924674e-01 6.817634e-03 6.747916e-03 1.509114e-02 1.491477e-02
co60   9.994073e-01 5.033210e-03 5.023266e-03 -1.492165e-02 -1.507326e-02
ba133  9.831593e-01 4.449473e-03 4.448061e-03 1.504964e-02 1.496019e-02
cs137  9.942732e-01 3.080704e-02 3.076493e-02 1.509095e-02 1.495014e-02
eu152  9.503620e-01 7.248770e-03 7.246815e-03 1.506387e-02 1.491939e-02
pb210  -9.000000e+00 1.000000e+00 1.000000e+00 -1.994916e-02 -2.010836e-02
ra226  9.465069e-01 3.903712e-03 3.899984e-03 1.508525e-02 1.495303e-02
am241  -9.000000e+00 1.000000e+00 1.000000e+00 1.506001e-02 1.494775e-02
na22   9.917107e-01 6.798763e-03 6.783806e-03 1.509114e-02 1.491477e-02
co60   1.000702e+00 5.036567e-03 5.030219e-03 -1.492165e-02 -1.507326e-02
ba133  9.851015e-01 4.486931e-03 4.484643e-03 1.504964e-02 1.496019e-02
cs137  9.672740e-01 3.292711e-02 3.280059e-02 1.509095e-02 1.495014e-02
eu152  9.442110e-01 7.200138e-03 7.196431e-03 1.506387e-02 1.491939e-02
pb210  -9.000000e+00 1.000000e+00 1.000000e+00 -1.994916e-02 -2.010836e-02
ra226  9.497252e-01 3.916116e-03 3.909968e-03 1.508525e-02 1.495303e-02
am241  -9.000000e+00 1.000000e+00 1.000000e+00 1.506001e-02 1.494775e-02
