energy,eff,eff_error
5.316219999999999857e+01,3.230784032607397684e-03,8.099263604258478424e-05
3.028509999999999991e+02,2.195486948579475350e-03,3.543075501201729339e-05
3.560129999999999768e+02,1.989294872618426260e-03,3.056283447865848572e-05
3.838485000000000014e+02,1.908707061695148711e-03,3.365029788133966251e-05
